run,inicio_aleatorio,destino_aleatorio,algoritimo,nos_expandidos,memoria_usada,fator_de_ramificacao,tempo_execucao
30,"(46.145133, -122.89602)","(44.422654, -123.563317)",BFS,224,13520,1.75,90.43401432037354
30,"(46.145133, -122.89602)","(44.422654, -123.563317)",DFS,35,2240,1.8421052631578947,10.126883268356323
30,"(46.145133, -122.89602)","(44.422654, -123.563317)",UCS,231,13216,1.711111111111111,90.51284503936768
30,"(46.145133, -122.89602)","(44.422654, -123.563317)",A_star_harvesine,55973,524676,4.604822996533313,90.00153732299805
30,"(46.145133, -122.89602)","(44.422654, -123.563317)",A_star_euclidian_distance,55977,524676,4.615663414015968,90.01434659957886
31,"(34.05611, -118.017499)","(31.443973, -109.922701)",BFS,263,15704,2.858695652173913,90.16900825500488
31,"(34.05611, -118.017499)","(31.443973, -109.922701)",DFS,34,2184,1.7894736842105263,10.113219499588013
31,"(34.05611, -118.017499)","(31.443973, -109.922701)",UCS,268,15288,3.0112359550561796,90.40358662605286
31,"(34.05611, -118.017499)","(31.443973, -109.922701)",A_star_harvesine,52968,521884,2.9782682584866382,90.01437401771545
31,"(34.05611, -118.017499)","(31.443973, -109.922701)",A_star_euclidian_distance,51745,515964,2.9687975316153143,90.01553869247437
32,"(33.287607, -111.115904)","(38.019521, -121.641664)",BFS,222,13408,1.865546218487395,90.06068754196167
32,"(33.287607, -111.115904)","(38.019521, -121.641664)",DFS,28,1848,1.4736842105263157,10.378206968307495
32,"(33.287607, -111.115904)","(38.019521, -121.641664)",UCS,218,12488,1.744,90.20264458656311
32,"(33.287607, -111.115904)","(38.019521, -121.641664)",A_star_harvesine,50834,494908,2.5126442930924506,90.01611852645874
32,"(33.287607, -111.115904)","(38.019521, -121.641664)",A_star_euclidian_distance,52467,544316,2.524094217387827,90.0114369392395
33,"(33.771256, -102.935692)","(47.243923, -116.086969)",BFS,261,15592,2.868131868131868,90.39079070091248
33,"(33.771256, -102.935692)","(47.243923, -116.086969)",DFS,40,2520,2.1052631578947367,10.311827182769775
33,"(33.771256, -102.935692)","(47.243923, -116.086969)",UCS,248,14168,2.9523809523809526,90.45671248435974
33,"(33.771256, -102.935692)","(47.243923, -116.086969)",A_star_harvesine,59849,503580,5.094222152756069,90.01227498054504
33,"(33.771256, -102.935692)","(47.243923, -116.086969)",A_star_euclidian_distance,59260,503580,5.095453588718165,90.00484991073608
34,"(47.134461, -122.421112)","(42.268885, -112.180628)",BFS,211,12792,1.6356589147286822,90.09929966926575
34,"(47.134461, -122.421112)","(42.268885, -112.180628)",DFS,27,1792,1.4210526315789473,10.08895492553711
34,"(47.134461, -122.421112)","(42.268885, -112.180628)",UCS,205,11760,1.385135135135135,90.33324980735779
34,"(47.134461, -122.421112)","(42.268885, -112.180628)",A_star_harvesine,61394,543684,5.74452049322219,90.01111626625061
34,"(47.134461, -122.421112)","(42.268885, -112.180628)",A_star_euclidian_distance,60960,543684,5.727727808116501,90.00742030143738
35,"(42.890287, -121.583846)","(34.655194, -106.981712)",BFS,261,15592,2.868131868131868,90.25060892105103
35,"(42.890287, -121.583846)","(34.655194, -106.981712)",DFS,36,2296,1.894736842105263,10.093673944473267
35,"(42.890287, -121.583846)","(34.655194, -106.981712)",UCS,223,12768,1.956140350877193,90.38003754615784
35,"(42.890287, -121.583846)","(34.655194, -106.981712)",A_star_harvesine,54120,483908,3.4642643471857886,90.01161456108093
35,"(42.890287, -121.583846)","(34.655194, -106.981712)",A_star_euclidian_distance,54200,483908,3.4686939320053365,90.00395679473877
36,"(48.967239, -116.162159)","(39.493369, -118.762399)",BFS,193,11784,1.4296296296296296,90.09209179878235
36,"(48.967239, -116.162159)","(39.493369, -118.762399)",DFS,26,1736,1.368421052631579,10.092925310134888
36,"(48.967239, -116.162159)","(39.493369, -118.762399)",UCS,184,10584,1.1645569620253164,90.39229583740234
36,"(48.967239, -116.162159)","(39.493369, -118.762399)",A_star_harvesine,53771,618276,2.3782127826172066,90.01225566864014
36,"(48.967239, -116.162159)","(39.493369, -118.762399)",A_star_euclidian_distance,52488,618276,2.350599749358477,90.01362991333008
37,"(33.319975, -115.940215)","(42.08887, -104.264913)",BFS,241,14472,4.381818181818182,90.24888634681702
37,"(33.319975, -115.940215)","(42.08887, -104.264913)",DFS,44,2744,2.3157894736842106,10.11137866973877
37,"(33.319975, -115.940215)","(42.08887, -104.264913)",UCS,262,14952,4.225806451612903,90.35914611816406
37,"(33.319975, -115.940215)","(42.08887, -104.264913)",A_star_harvesine,54528,495940,3.7647488283365913,90.01099610328674
37,"(33.319975, -115.940215)","(42.08887, -104.264913)",A_star_euclidian_distance,54598,495940,3.7671780873493974,90.00102925300598
38,"(43.492691, -123.063239)","(47.875761, -103.838813)",BFS,218,13184,1.5797101449275361,90.43516945838928
38,"(43.492691, -123.063239)","(47.875761, -103.838813)",DFS,24,1624,1.263157894736842,10.002021551132202
38,"(43.492691, -123.063239)","(47.875761, -103.838813)",UCS,209,11984,1.4513888888888888,90.39259386062622
38,"(43.492691, -123.063239)","(47.875761, -103.838813)",A_star_harvesine,52304,502524,2.552222017710698,90.00430846214294
38,"(43.492691, -123.063239)","(47.875761, -103.838813)",A_star_euclidian_distance,51639,502524,2.545306341443282,90.00060057640076
39,"(34.287834, -119.208203)","(31.404797, -101.250391)",BFS,238,14304,2.106194690265487,90.46373963356018
39,"(34.287834, -119.208203)","(31.404797, -101.250391)",DFS,29,1904,1.5263157894736843,10.115463733673096
39,"(34.287834, -119.208203)","(31.404797, -101.250391)",UCS,215,12320,1.5808823529411764,90.48392367362976
